iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
ABW, 1.7053, 1.749, 1.5329, 1.6681, 1.6907000000000003, 1.7488, 1.7642, 1.8211, 1.8756, 1.8881, 2.4681, 2.499, 2.5289, 2.6556, 2.7111, 2.8145, 2.8117, 2.9208, 2.7569, 2.7285, 2.6095, 2.6039, 1.4532, 0.96826, 0.9808600000000002, 1.0009, 1.0284, 1.025, 0.5894199999999999, 0.6177533333333334, 0.6481266666666666, 0.68135, 0.7174299999999999, 0.75618, 0.7974066666666667, 0.8409200000000001, 0.8872666666666666, 0.9368566666666668, 0.9891866666666664, 1.0437966666666665, 1.1002666666666667
AFG, 12.8281, 13.0307, 12.0476, 12.1969, 12.24, 12.8216, 13.9125, 14.8752, 15.6795, 16.5714, 14.8423, 13.286, 15.9498, 16.7076, 16.3504, 17.1656, 17.567, 18.3722, 21.7611, 24.884, 28.6984, 32.6811, 31.2559, 30.5344, 32.0983, 31.6482, 33.5513, 34.0195, 35.42761394824692, 36.83572789649384, 38.24384184474076, 39.565511164476476, 40.8871804842122, 42.20884980394793, 43.53051912368365, 44.85218844341937, 46.416380390574865, 47.98057233773035, 49.544764284885844, 51.10895623204133, 52.67314817919682
AGO, 72.2615, 74.4525, 76.7984, 76.156, 69.8744, 81.2641, 82.0381, 77.2704, 79.961, 75.8694, 70.5544, 71.7326, 76.1997, 76.6953, 86.2492, 87.1718, 84.6794, 90.1656, 89.1923, 91.0484, 97.0942, 99.5551, 100.8591, 97.0342, 97.0693, 100.353, 100.8752, 100.5013, 107.59633333333332, 114.69136666666668, 121.7864, 116.31178272668411, 110.77412409002618, 105.17342409002619, 99.50968272668412, 93.78290000000001, 86.33437601644924, 78.90049402467385, 71.48125402467385, 64.07665601644922, 56.6867
AIA, 0.054376999999999995, 0.054476, 0.058155, 0.06931699999999999, 0.069626, 0.069793, 0.073539, 0.073516, 0.080897, 0.084593, 0.092123, 0.09945599999999999, 0.09955399999999999, 0.10699000000000004, 0.12612, 0.13360999999999998, 0.1484, 0.15575999999999998, 0.15572, 0.15202000000000002, 0.15581, 0.14856, 0.1486, 0.14167000000000002, 0.14915, 0.15231, 0.15669, 0.15602, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074
ALB, 6.7815, 8.0866, 5.7988, 5.8929, 6.4466, 6.3907, 6.4465, 6.5214, 7.3211, 7.7653, 7.0273, 7.4074, 7.7159, 8.0177, 8.3061, 8.11, 8.0436, 8.2718, 8.1844, 8.6573, 8.9149, 9.6455, 9.2906, 9.513, 10.3286, 9.8756, 10.174, 10.2403, 9.944467456095703, 9.648634912191412, 9.352802368287117, 8.952822761922809, 8.5596467755385, 8.173274409134187, 7.793705662709873, 7.420940536265559, 7.05497902980124, 6.695821143316921, 6.3434668768126, 5.997916230288277, 5.659169203743952
AND, 0.47713999999999995, 0.48598, 0.49545, 0.50605, 0.51027, 0.53838, 0.56996, 0.58065, 0.5948, 0.61322, 0.62583, 0.6261899999999999, 0.6332399999999999, 0.63672, 0.66355, 0.67923, 0.6481899999999999, 0.64369, 0.64212, 0.62003, 0.6241, 0.59558, 0.59006, 0.58323, 0.56972, 0.5702, 0.5774199999999999, 0.58098, 0.5773304141822843, 0.5736808283645685, 0.5700312425468527, 0.5457002660292716, 0.5216358183065131, 0.4978378993785775, 0.47430650924546447, 0.4510416479071744, 0.4280433153637071, 0.4053115116150626, 0.3828462366612407, 0.3606474905022416, 0.3387152731380653
ANT, 5.6017, 4.5335, 3.7773, 5.7309, 5.5054, 5.4514, 5.1144, 5.3662, 0.5403899999999999, 2.3595, 5.8629, 5.9758, 5.7525, 5.7515, 6.0379, 5.994, 6.2328, 6.9968, 6.7378, 6.871, 4.7683, 6.0712, 7.2597, 6.4981, 7.1833, 7.3295, 7.5345, 7.4944, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325, 7.2165833333333325
ARE, 61.2097, 67.2973, 68.9758, 76.3247, 83.2046, 84.7661, 77.7487, 80.9749, 103.0591, 103.0369, 137.7742, 134.6088, 125.6334, 156.3638, 171.1557, 183.0349, 186.4729, 193.729, 212.261, 215.8088, 204.1377, 205.3739, 211.7397, 205.9782, 236.8704, 254.1235, 262.4122, 259.7016, 256.4287, 259.5101, 263.9753, 269.9788, 276.9634, 284.756, 293.1822, 302.0655, 311.2342, 320.4794, 329.5657, 338.2555, 346.3096
ARG, 242.8383, 252.4021, 257.77, 261.462, 266.6969, 260.6655, 272.747, 274.4033, 278.8986, 280.945, 296.9296, 293.5946, 287.0193, 304.9927, 317.2126, 326.7034, 341.3797, 355.7947, 352.1372, 341.5865, 315.8042, 325.657, 327.4683, 337.4221, 339.2946, 342.361, 347.167, 348.1714, 354.3456, 360.5198, 366.694, 362.9948039523443, 358.96862736905996, 354.61547025014715, 349.9353325956056, 344.9282144054355, 339.5941156796368, 333.9330364182095, 327.9449766211536, 321.6299362884691, 314.98791542015596
ARM, 25.9566, 24.3446, 28.934, 13.3996, 13.2646, 14.0969, 10.6776, 10.904000000000002, 9.4562, 7.4859, 6.072, 6.1206, 5.9108, 6.4129, 6.825, 7.6766, 8.0107, 8.826, 9.5409, 8.4695, 8.5031, 9.3504, 10.4292, 10.3439, 10.4658, 11.2202, 11.5894, 11.2487, 10.8665, 11.0948, 11.3014, 12.285709548798005, 13.298741624807704, 14.343159353800418, 15.42061836174204, 16.532832399758277, 16.49735578222166, 16.440569214575742, 16.35600232507109, 16.237254223227154, 16.07853099997132
ATA, 0.011000000000000001, 0.014667, 0.014667, 0.014667, 0.014667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0073334, 0.0073334, 0.0073334, 0.011000000000000001, 0.005308, 0.005177, 0.0050461, 0.0049151, 0.0047842, 0.0046532, 0.0045223, 0.004391300000000001, 0.0042604, 0.0041294, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568
ATG, 0.39326, 0.38078, 0.3783, 0.38698, 0.38593, 0.39643, 0.41558999999999996, 0.4315, 0.44368, 0.45805, 0.47712, 0.48353999999999997, 0.50722, 0.54322, 0.56438, 0.57422, 0.5905199999999999, 0.61717, 0.62929, 0.6593100000000001, 0.65377, 0.64837, 0.66099, 0.66233, 0.67843, 0.6913600000000001, 0.71007, 0.7086399999999999, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333, 0.6853033333333333
AUS, 423.1711, 424.2326, 428.5787, 429.1679, 429.2794, 437.9366, 445.5559, 457.6026, 471.375, 476.9807, 487.9023, 495.3852, 499.2842, 500.9888, 518.8514, 524.7326, 529.4055, 536.1612, 540.0882, 543.9627, 540.3462, 541.371, 543.7739, 533.5425, 528.081, 538.3126, 549.9258, 557.2955, 563.126, 572.6398, 581.793, 569.6188157587571, 557.1409445312454, 544.2493574741371, 530.8356848690679, 516.79576092498, 501.9354771413028, 486.1127193418051, 469.30850896303934, 451.5077672865284, 432.70091450000007
AUT, 80.4576, 83.9334, 77.1334, 77.3347, 77.5754, 81.0456, 84.4512, 84.2258, 83.5248, 81.5883, 81.9584, 85.9521, 87.8089, 93.4656, 92.8841, 94.2608, 91.92299999999999, 89.113, 88.2875, 81.4958, 86.0418, 83.8026, 81.2778, 81.7035, 78.006, 80.1987, 80.8729, 83.5135, 80.3949, 80.9481, 81.508, 77.74369728912073, 73.97412061766994, 70.17531271761092, 66.32662661521431, 62.410432414745344, 58.40610724170914, 54.29993449321621, 50.08847319261321, 45.77080189141983, 41.3484725
AZE, 77.7572, 70.4957, 62.25899999999999, 53.3245, 47.3087, 49.8308, 42.527, 41.5298, 41.0383, 41.5124, 42.92, 43.7859, 44.3755, 46.5268, 48.8905, 52.6715, 57.2676, 51.2619, 61.6612, 55.9269, 55.9475, 56.9446, 59.1994, 59.9713, 65.9996, 70.4519, 71.0048, 70.9912, 75.1576, 76.1604, 76.7587, 74.3420349929994, 71.78357134216725, 69.16350481046668, 66.5447107760068, 63.97499170109564, 61.48420574113908, 58.99196282290852, 56.38999636993665, 53.59618158784305, 50.55373356459108
BDI, 3.3439, 3.4194, 3.4626, 3.4781, 3.4358, 3.4741, 3.5096, 3.6159, 3.5707, 3.346, 3.4211, 3.8131, 3.8828, 3.9376, 4.2494, 4.3556, 4.5885, 4.7084, 4.9072, 5.1222, 5.4216, 5.6858, 5.8161, 6.3717, 6.5995, 6.7153, 6.5052, 6.5420000000000025, 6.833266666666668, 7.124533333333333, 7.415799999999997, 7.594628950221578, 7.771783858188188, 7.947264723899825, 8.121071547356488, 8.29320432855818, 8.492886665860048, 8.691681920014569, 8.889590091021736, 9.086611178881551, 9.282745183594017
