cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,NOTCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,CH4_IPCM0EL_NOTCOV_EMI_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0225718,0.0221453,0.0233626,0.0242477,0.0261256,0.0270071,0.0240591,0.0247815,0.0264837,0.0268108,0.0309093,0.0311081,0.0312612,0.0322656,0.0322558,0.0324005,0.0329252,0.0336615,0.0339554,0.0341431,0.0338539,0.0346775,0.0346055,0.036158,0.036667,0.037176,0.037684,0.038193
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0.00242053,0.00248736,0.00246178,0.00250069,0.00273835,0.00281484,0.00286556,0.00289683,0.00292802,0.00294164,0.00301616,0.00294617,0.00314167,0.00326508,0.0042086,0.0043479,0.0044748,0.0045131,0.0044723,0.0046094,0.0046659,0.0047152,0.0047579,0.0052224,0.0053835,0.0055445,0.0057056,0.0058667
ALB,1.3630425,1.409995,1.383595,1.49673,1.5601275,1.5646325,1.8738575,1.909095,1.9260325,2.0812725,2.566475,2.5191775,2.4677875,2.49849,2.5434325,2.456695,2.5254975,2.42718697,2.2952075,2.36230775,2.36789,2.35671,2.3861275,2.4421686,2.48767226,2.52488592,2.54736958,2.54459324
AND,0.0042839,0.004314,0.0042412,0.0041473,0.0041225,0.0039817,0.0040258,0.0039965,0.0038863,0.0039055,0.003958,0.0041895,0.0044252,0.0045994,0.0048938,0.0051378,0.0052766,0.0054124,0.0055204,0.0055388,0.0054697,0.0054223,0.0054611,0.0054333,0.0055391,0.0053159,0.0054123,0.0053225
ANT,0.0876045,0.0863765,0.0975195,0.1000995,0.1014365,0.102106,0.1023275,0.100204,0.104537,0.090681,0.093398,0.102565,0.0879945,0.0819715,0.0930355,0.0966075,0.0911615,0.0964,0.091847,0.0861165,0.049713,0.0798815,0.0805585,0.0746019,0.0728397,0.071043,0.0692815,0.067519
ARE,0.92176,0.98603,1.054,1.1276,1.21,1.3286,1.4567,1.5853,1.7312,1.8831,2,1.9508,1.9066,1.8672,1.7593,1.875,1.7792,1.6885,1.6054,1.7082,1.3098,1.1782,1.0664,1.0478,0.98701,1.0203,1.0337,1.0509
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,1.1099,1.1035,0.99316,0.89733,0.89896,0.90288,0.91921,0.93563,0.87328,0.9055,0.9378,0.97155,1.0138,1.0552,1.1079,1.1138,1.1476,1.2085,1.2248,1.1346,1.1066,1.1095,1.1673,1.2883,1.3255,1.3495,1.38,1.2896
ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0.69643,0.7135,0.7303,0.74235,0.7569,0.76867,0.7782,0.78773,0.8,0.81228,0.82983,0.85045,0.8741,0.903,0.9347,0.96665,1.0044,1.0421,1.0827,1.1234,1.1671,1.2112,1.255,1.2571,1.2904,1.3237,1.357,1.3904
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
